,Ano Evento,Mês Evento,Subestação Hier.Geoelétrica,Alimentador Hier.Geoelétrica,Bloco Alimentador Hier.Geoelétrica,Transformador Hier.Geoelétrica,Pot,Cod Grupo Causa GPO,Grupo Causa GPO,Cod Causa Evento,Causa Evento,DIC Transformador,FIC Transformador,Duração
5736,2012,01/2012,BSA,BSA-L3,2771,2771,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,36.96,24.0,1.54
5737,2012,08/2012,BSA,BSA-L3,2771,2771,75.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C080,FALHA EM CHAVE SECCI,7.00008,24.0,0.29167
5738,2014,01/2014,BSA,BSA-L3,2771,2771,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C283,ENTRELAÇADO,14.34725,25.0,0.57389
5739,2014,02/2014,BSA,BSA-L3,2771,2771,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C326,JUMPER CHAVE FUSÍVEL,2.014,25.0,0.08055999999999999
5740,2014,02/2014,BSA,BSA-L3,2771,2771,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,35.236,25.0,1.4094399999999998
5741,2014,12/2014,BSA,BSA-L3,2771,2771,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,46.5,1.0,0.0
5742,2012,01/2012,BSA,BSA-L3,10991,2772,45.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,9.08921,26.0,0.349585
5743,2012,08/2012,BSA,BSA-L3,10991,2772,45.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C080,FALHA EM CHAVE SECCI,3.79171,13.0,0.29167
5744,2014,01/2014,BSA,BSA-L3,10991,2772,45.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C283,ENTRELAÇADO,7.46057,13.0,0.57389
5745,2014,02/2014,BSA,BSA-L3,10991,2772,45.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C326,JUMPER CHAVE FUSÍVEL,1.04728,13.0,0.08055999999999999
5746,2014,02/2014,BSA,BSA-L3,10991,2772,45.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,18.32272,13.0,1.40944
5747,2014,12/2014,BSA,BSA-L3,10991,2772,45.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,19.87608,1.0,0.0
5748,2012,01/2012,BSA,BSA-L3,2773,2773,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,0.69917,2.0,0.349585
5749,2012,08/2012,BSA,BSA-L3,2773,2773,75.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C080,FALHA EM CHAVE SECCI,0.29167,1.0,0.29167
5750,2014,01/2014,BSA,BSA-L3,2773,2773,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C283,ENTRELAÇADO,0.57389,1.0,0.57389
5751,2014,02/2014,BSA,BSA-L3,2773,2773,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C326,JUMPER CHAVE FUSÍVEL,0.08056,1.0,0.08056
