Ano Evento,Mês Evento,Subestação Hier.Geoelétrica,Alimentador Hier.Geoelétrica,Bloco Alimentador Hier.Geoelétrica,Transformador Hier.Geoelétrica,Pot,Cod Grupo Causa GPO,Grupo Causa GPO,Cod Causa Evento,Causa Evento,DIC Transformador,FIC Transformador,Duração
0,2012,04/2012,X,X-L1,0002,2,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,0.20111,1.0,0.20111
1,2012,07/2012,X,X-L1,0002,2,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,2.85417,1.0,2.85417
2,2012,11/2012,X,X-L1,0002,2,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C444,DEFEITO NA CHAVE,0.195,1.0,0.195
3,2013,07/2013,X,X-L1,0002,2,75.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C071,FALHA EM DISJUNTOR,0.61028,1.0,0.61028
4,2013,08/2013,X,X-L1,0002,2,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C285,PARTIDO NA EMENDA,1.14528,1.0,1.14528
5,2014,07/2014,X,X-L1,0002,2,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C181,PARA-RAIOS CURTO-CIR,4.9,1.0,4.9
6,2012,04/2012,X,X-L1,0005,3,45.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,3.77972,1.0,3.77972
7,2013,07/2013,X,X-L1,0005,3,45.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C071,FALHA EM DISJUNTOR,0.91722,1.0,0.91722
8,2012,08/2012,X,X-L6,5458,4,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,13.48428,37.0,0.36444
9,2013,09/2013,X,X-L6,5458,4,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,1.85,37.0,0.05
