,Ano Evento,Mês Evento,Subestação Hier.Geoelétrica,Alimentador Hier.Geoelétrica,Bloco Alimentador Hier.Geoelétrica,Transformador Hier.Geoelétrica,Pot,Cod Grupo Causa GPO,Grupo Causa GPO,Cod Causa Evento,Causa Evento,DIC Transformador,FIC Transformador,Duração
6855,2014,12/2014,TBU,TBU-L3,4711,4711,112.5,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C192,FALHA BUCHA DE AT,43.0,86.0,0.5
6856,2012,02/2012,TBU,TBU-L3,4712,4712,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C392,DEFEITO EM JUMPER/CO,0.68333,1.0,0.68333
6857,2013,02/2013,TBU,TBU-L3,4712,4712,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,1.21472,1.0,1.21472
6858,2013,07/2013,TBU,TBU-L3,4712,4712,75.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C071,FALHA EM DISJUNTOR,0.08333,1.0,0.08333
6859,2013,08/2013,TBU,TBU-L3,4712,4712,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C283,ENTRELAÇADO,1.35833,1.0,1.35833
6860,2013,09/2013,TBU,TBU-L3,4712,4712,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C397,FERRAGENS FOLGADAS/D,1.69722,2.0,0.84861
6861,2013,12/2013,TBU,TBU-L3,4712,4712,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,1.60194,1.0,1.60194
6862,2012,08/2012,TBU,TBU-L2,17423,4716,45.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,24.21,18.0,1.345
6863,2013,07/2013,TBU,TBU-L2,17423,4716,45.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C071,FALHA EM DISJUNTOR,16.515,18.0,0.9175
6864,2014,02/2014,TBU,TBU-L2,17423,4716,45.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C444,DEFEITO NA CHAVE,3.74508,18.0,0.20806000000000002
6865,2014,07/2014,TBU,TBU-L2,17423,4716,45.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,9.64008,18.0,0.5355599999999999
6866,2012,08/2012,BSA,BSA-L2,4717,4717,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,25.9675,47.0,0.5525
6867,2012,08/2012,BSA,BSA-L2,4717,4717,75.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C080,FALHA EM CHAVE SECCI,13.72118,47.0,0.29194000000000003
6868,2014,02/2014,BSA,BSA-L2,4717,4717,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,19.16682,46.0,0.41667000000000004
6869,2012,08/2012,BSA,BSA-L2,17013,4718,45.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,26.95911,17.0,1.5858299999999999
6870,2012,08/2012,BSA,BSA-L2,17013,4718,45.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C080,FALHA EM CHAVE SECCI,4.96298,17.0,0.29194
6871,2012,06/2012,CPX,CPX-L5,4723,4723,45.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,0.79583,1.0,0.79583
